,submission_id,itemID,type,setting,region,avg_rt,phrase,phrase_length,speakerKnowledge,is_a_quantifier,item_has_a_scalar_trigger_sentence,triggerType
131,3409,21,trigger,scalar,2_s_ntw_1,267.5,Some of the dictionaries were labeled incorrectly.,7.0,partial,no,yes,scalar
132,3409,21,trigger,scalar,3_s_ntw_2,280.5,Some of the dictionaries were labeled incorrectly.,7.0,partial,no,yes,scalar
133,3409,21,continuation,complement,1_anaphor,306.0,The others were labeled appropriately though a few of them had been shelved in the wrong place.,17.0,partial,no,yes,scalar
134,3409,21,continuation,complement,2_predicate,289.3333333333333,The others were labeled appropriately though a few of them had been shelved in the wrong place.,17.0,partial,no,yes,scalar
135,3409,21,continuation,complement,3_clause_boundary,285.0,The others were labeled appropriately though a few of them had been shelved in the wrong place.,17.0,partial,no,yes,scalar
136,3409,21,continuation,complement,4_next_two_words,249.5,The others were labeled appropriately though a few of them had been shelved in the wrong place.,17.0,partial,no,yes,scalar
137,3409,7,trigger,focused,1_f_particle,407.0,Only some of the tourists got soaked by the rain storm.,11.0,full,no,no,focused
138,3409,7,trigger,focused,2_f_quantifier,307.5,Only some of the tourists got soaked by the rain storm.,11.0,full,no,no,focused
139,3409,7,trigger,focused,3_f_ntw_1,339.5,Only some of the tourists got soaked by the rain storm.,11.0,full,no,no,focused
140,3409,7,trigger,focused,4_f_ntw_2,321.5,Only some of the tourists got soaked by the rain storm.,11.0,full,no,no,focused
141,3409,7,continuation,complement,1_anaphor,280.0,The rest were dry because they had remembered their umbrellas.,10.0,full,no,no,focused
142,3409,7,continuation,complement,2_predicate,284.5,The rest were dry because they had remembered their umbrellas.,10.0,full,no,no,focused
143,3409,7,continuation,complement,3_clause_boundary,385.0,The rest were dry because they had remembered their umbrellas.,10.0,full,no,no,focused
144,3409,7,continuation,complement,4_next_two_words,337.0,The rest were dry because they had remembered their umbrellas.,10.0,full,no,no,focused
145,3409,19,trigger,scalar,1_s_quantifier,270.0,"Today, some of the liquid nitrogen containers needed to be refilled.",11.0,partial,no,yes,scalar
146,3409,19,trigger,scalar,2_s_ntw_1,294.0,"Today, some of the liquid nitrogen containers needed to be refilled.",11.0,partial,no,yes,scalar
147,3409,19,trigger,scalar,3_s_ntw_2,266.5,"Today, some of the liquid nitrogen containers needed to be refilled.",11.0,partial,no,yes,scalar
148,3409,19,continuation,complement,1_anaphor,264.5,The others were normal but I decided to order more anyway.,11.0,partial,no,yes,scalar
149,3409,19,continuation,complement,2_predicate,306.0,The others were normal but I decided to order more anyway.,11.0,partial,no,yes,scalar
150,3409,19,continuation,complement,3_clause_boundary,1186.0,The others were normal but I decided to order more anyway.,11.0,partial,no,yes,scalar
151,3409,19,continuation,complement,4_next_two_words,274.0,The others were normal but I decided to order more anyway.,11.0,partial,no,yes,scalar
152,3409,11,trigger,scalar,1_s_quantifier,269.5,Some of the bottles of Chardonnay were missing.,8.0,full,no,yes,scalar
